drug,alternative_1,alternative_2,alternative_3
Mevinolinic acid,Pravastatin,Tenivastatin,Lovastatin
"(5-Hydroxy-6-methyl-4-{[(E)-(3-oxo-1,2-oxazolidin-4-ylidene)amino]methyl}-3-pyridinyl)methyl dihydrogen phosphate",4-(2-Amino-Ethoxy)-2-[(3-Hydroxy-2-Methyl-5-Phosphonooxymethyl-Pyridin-4-Ylmethyl)-Amino]-but-3-Enoic Acid,"D-[3-hydroxy-2-methyl-5-phosphonooxymethyl-pyridin-4-ylmethyl]-N,O-cycloserylamide",N-[2-(1-maleimidyl)ethyl]-7-diethylaminocoumarin-3-carboxamide
GC-24,VK-0214,Sobetirome,Liothyronine
"2,3-Dimethylimidazolium Ion",Pyrithione,1-Methylimidazole,Phenylmercuric acetate
L-methionine sulfone,Methionine sulfoximine,5-Oxo-L-Norleucine,N5-Methylglutamine
GW-3965,Abequolixron,JTT-251,Penfluridol
5-Aminouracil,Thymine,Eniluracil,Uric acid
Benzoic acid,Niacin,Thiosalicylic acid,"1,3-Thiazole-4-Carboxylic Acid"
Trifluoroalanine,Difluoromethionine,Trifluoromethionine,"1,1,1-TRIFLUORO-3-ACETAMIDO-4-PHENYL BUTAN-2-ONE(N-ACETYL-L-PHENYLALANYL TRIFLUOROMETHYL KETONE)"
2-Dehydropantoate,Pivagabine,"2,2-Dimethylbutyrate",Isobutyric acid
Palmitic Acid,Myristic acid,Capric acid,Decylsulfonic acid
3-Aminomethyl-Pyridinium-Adenine-Dinucleotide,Selenazole-4-carboxyamide-adenine dinucleotide,3-Acetylpyridine Adenine Dinucleotide,Nadide
2'-Deoxycytidine-5'-Monophosphate,Cytidine 3'-monophosphate,Thymidine monophosphate,Deoxyuridine monophosphate
Trifluoromethionine,Difluoromethionine,Trifluoroalanine,"4-(2,2,2-TRIFLUOROETHYL)-L-PHENYLALANINE"
Deoxyuridine monophosphate,2'-Deoxyuridine 3'-Monophosphate,3'-Uridinemonophosphate,2'-fluoro-2'-deoxyuridine 3'-monophosphate
Lysine Nz-Carboxylic Acid,Carbocisteine,L-2-aminopimelic acid,Aspartic acid
"1-[4-(Octahydro-Pyrido[1,2-a]Pyrazin-2-Yl)-Phenyl]-2-Phenyl-1,2,3,4-Tetrahydro-Isoquinolin-6-Ol","2-Phenyl-1-[4-(2-Piperidin-1-Yl-Ethoxy)-Phenyl]-1,2,3,4-Tetrahydro-Isoquinolin-6-Ol",Ormeloxifene,Lasofoxifene
"N,N-[2,5-O-dibenzyl-glucaryl]-DI-[valinyl-aminomethanyl-pyridine]",Inhibitor BEA388,Inhibitor BEA409,"N,N-[2,5-O-[Dibenzyl]-glucaryl]-DI-[isoleucyl-amido-methane]"
5-Bromothienyldeoxyuridine,Raluridine,Broxuridine,Idoxuridine
"1-(2-Chlorophenyl)-3,5-Dimethyl-1h-Pyrazole-4-Carboxylic Acid Ethyl Ester","1-(4-Methoxyphenyl)-3,5-Dimethyl-1h-Pyrazole-4-Carboxylic Acid Ethyl Ester","1-(4-Aminophenyl)-3,5-Dimethyl-1h-Pyrazole-4-Carboxylic Acid Ethyl Ester","3,5-DIMETHYL-1-PHENYL-1H-PYRAZOLE-4-CARBOXYLIC ACID ETHYL ESTER"
Hexamidine,Pentamidine,Propamidine,Diminazene
9-Butyl-8-(3-Methoxybenzyl)-9h-Purin-6-Amine,9-Butyl-8-(4-Methoxybenzyl)-9h-Purin-6-Amine,"9-Butyl-8-(2,5-Dimethoxy-Benzyl)-9h-Purin-6-Ylamine","3-[4-AMINO-1-(1-METHYLETHYL)-1H-PYRAZOLO[3,4-D]PYRIMIDIN-3-YL]PHENOL"
3-Methylglutamic acid,"(2S,3S)-2-azanyl-3-methyl-pentanedioic acid",threo-3-methyl-L-aspartic acid,(3S)-3-methyl-D-aspartic acid
Histidinol,Histidine,Tetrazolyl Histidine,F-Loop of Vitamin B12
"3-{2,6,8-trioxo-9-[(2S,3R,4R)-2,3,4,5-tetrahydroxypentyl]-1,2,3,6,8,9-hexahydro-7H-purin-7-Yl}propyl dihydrogen phosphate","3-[2,6,8-Trioxo-9-[(2R,3S,4R)-2,3,4,5-tetrahydroxypentyl]-3H-purin-7-yl]propyl dihydrogen phosphate","3-[2,6,8-Trioxo-9-[(2R,3R,4R)-2,3,4,5-tetrahydroxypentyl]-3H-purin-7-yl]propyl dihydrogen phosphate","3-{2,6,8-trioxo-9-[(2S,3S,4R)-2,3,4,5-tetrahydroxypentyl]-1,2,3,6,8,9-hexahydro-7H-purin-7-Yl}propyl dihydrogen phosphate"
2-Decenoyl N-acetyl cysteamine,Palmitoleic Acid,Idroxioleic acid,Butenoic Acid
2-(N-morpholino)ethanesulfonic acid,3-(N-morpholino)propanesulfonic acid,3-(cyclohexylamino)propanesulfonic acid,N-cyclohexyltaurine
Fucitol,L-Rhamnitol,Mannitol,Meglumine
Difluoromethionine,Trifluoromethionine,Trifluoroalanine,"1,1,1-TRIFLUORO-3-ACETAMIDO-4-PHENYL BUTAN-2-ONE(N-ACETYL-L-PHENYLALANYL TRIFLUOROMETHYL KETONE)"
"L-2,4-diaminobutyric acid",Ornithine,Methionine,Lysine
N-[Tosyl-D-Prolinyl]Amino-Ethanethiol,Tosyl-D-Proline,"(1R,2R)-N-(2-Aminoethyl)-2-{[(4-methoxyphenyl)sulfonyl]methyl}cyclohexanecarboxamide","N-Hydroxy-4-[(4-Methoxylphenyl)Sulfonyl]-2,2-Dimethyl-Hexahydro-1,4-Thiazepine-3(S)-Carboxamide"
Salicylhydroxamic Acid,Glycol salicylate,Thiosalicylic acid,Salicylic acid
"(2S,5R,6R)-6-({(6S)-6-[(Ammonioacetyl)amino]-6-carboxylatohexanoyl}amino)-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylate",Isopenicillin N,Azlocillin,Tagetitoxin
2-Amino-3-Hydroxy-3-Phosphonooxy-Propionic Acid,4-Hydroxy-L-Threonine-5-Monophosphate,2-Amino-3-Oxo-4-Sulfo-Butyric Acid,L-Alpha-Glycerophosphorylserine
Ethyl dihydrogen phosphate,Ethanesulfonic acid,Tramiprosate,Taurine
Epigallocatechin,Epicatechin,Cianidanol,Dihydromyricetin
"7-Iodo-1,2,3,4-Tetrahydro-Isoquinoline","7,8-Dichloro-1,2,3,4-tetrahydroisoquinoline","8,9-Dichloro-2,3,4,5-Tetrahydro-1h-Benzo[C]Azepine",Eltoprazine
Rhodamine 6G,Indacaterol,CRA_9678,Rhodamine B
"5,6-Diaminouracil",5-Aminouracil,Thymine,Uric acid
"(3s)-3,4-Di-N-Hexanoyloxybutyl-1-Phosphocholine",Colfosceril palmitate,VB-201,"1,2-Di-N-Pentanoyl-Sn-Glycero-3-Dithiophosphocholine"
RU78299,(2-BROMOETHYL)(2-'FORMYL-4'-AMINOPHENYL) ACETATE,Aminosalicylic acid,5-METHYL-2-[(PHENYLSULFONYL)AMINO]BENZOIC ACID
Pseudouridine-5'-Monophosphate,6-aza uridine 5'-monophosphate,Uridine monophosphate,3'-Uridinemonophosphate
Phosphorylated Dihydropteroate,Pteroic acid,Folic acid,Pemetrexed
"[(Z)-octadec-9-enyl] (2R)-2,3-bis(oxidanyl)propanoate",9(S)-HODE,Symmetric dimethylarginine,L-2-amino-4-methoxy-cis-but-3-enoic acid
"3-Carboxy-N,N,N-Trimethyl-2-(Octanoyloxy)Propan-1-Aminium",(3-Carboxy-2-(R)-Hydroxy-Propyl)-Trimethyl-Ammonium,Levocarnitine propionate,Acetylcarnitine
"2-Prolyl-5-Tert-Butyl-[1,3,4]Oxadiazole","(2S)-2-AMINO-1-(5-TERT-BUTYL-1,3,4-OXADIAZOL-2-YL)PROPAN-1-ONE","[4-amino-2-(tert-butylamino)-1,3-thiazol-5-yl](phenyl)methanone","1-(5-TERT-BUTYL-1,3,4-OXADIAZOL-2-YL)-2-(METHYLAMINO)ETHANONE"
"(3S)-3-(dioxidosulfanyl)-N-[(1Z)-3-oxoprop-1-en-1-yl]-4-(1H-1,2,3-triazol-1-yl)-D-valine",Tazobactam trans-enamine intermediate,Arginine PCA,Cilastatin
"N-[(5S,7R,8S,9S,10R)-8,9,10-Trihydroxy-7-(hydroxymethyl)-2,4-dioxo-6-oxa-1,3-diazaspiro[4.5]dec-3-yl]acetamide","8,9,10-trihydroxy-7-hydroxymethyl-3-methyl-6-oxa-1,3-diaza-spiro[4.5]decane-2,4-dione","(5S,7R,8S,9S,10R)-3-Amino-8,9,10-trihydroxy-7-(hydroxymethyl)-6-oxa-1,3-diazaspiro[4.5]decane-2,4-dione","3,8,9,10-tetrahydroxy-7-hydroxymethyl-6-oxa-1,3-diaza-spiro[4.5]decane-2,4-dione"
"1,3,5-trichlorobenzene","2,4,6-Tribromophenol","3,3',5,5'-tetrachlorobiphenyl-4,4'-diol","3,5-dibromobiphenyl-4-ol"
Morpholine-4-Carboxylic Acid (1-(3-Benzenesulfonyl-1-Phenethylallylcarbamoyl)-3-Methylbutyl)-Amide,WRR-204,3-[N-[benzyloxycarbonyl]-phenylalaninyl-amino]-5-phenyl-pentane-1-sulfonylmethylbenzene,[1-(3-hydroxy-2-oxo-1-phenethyl-propylcarbamoyl)2-phenyl-ethyl]-carbamic acid pyridin-4-ylmethyl ester
D-Tyrosine,Tyrosine,4-Iodo-D-phenylalanine,GED-0507-34-Levo
Tetra(Imidazole)Diaquacopper (Ii),"lambda-bis(2,2'-bipyridine)imidazole ruthenium (II)",Tetra(imidazole)diaquacopper (I),Tegafur-uracil
Niraxostat,Lifibrol,Febuxostat,LY-518674
2-Chloro-6-Methyl-Aniline,"(4S)-4-hydroxy-3,4-dihydro-2(1H)-pyrimidinone",Cyclo(prolylglycyl),Trenbolone
Formaldehyde,Undecanal,Oxygen,Nitrosoethane
"N-(2,6-Diflouro-Benzyl)-4-Sulfamoyl-Benzamide","N-(2,3-DIFLUORO-BENZYL)-4-SULFAMOYL-BENZAMIDE","4-(Aminosulfonyl)-N-[(2,5-Difluorophenyl)Methyl]-Benzamide","4-(Aminosulfonyl)-N-[(2,4-Difluorophenyl)Methyl]-Benzamide"
P1-(5'-Adenosyl)P5-(5'-(3'azido-3'-Deoxythymidyl))Pentaphosphate,"2',3'-O-{4-[Hydroxy(oxido)-λ5-azanylidene]-2,6-dinitro-2,5-cyclohexadiene-1,1-diyl}adenosine 5'-(tetrahydrogen triphosphate)",Heparin Disaccharide I-S,Nicotinamide adenine dinucleotide 3-pentanone adduct
2'-deoxy-5-(hydroxymethyl)uridine 5'-(dihydrogen phosphate),5-Bromo-2'-deoxyuridine 5'-(dihydrogen phosphate),5-Iodo-2'-Deoxyuridine-5'-Monophosphate,5-fluoro-2'-deoxyuridine-5'-monophosphate
gamma-carboxy-L-glutamic acid,Nz-(Dicarboxymethyl)Lysine,L-Saccharopine,Aspartic Acid-4-Carboxymethyl Ester
Benzenesulfinic acid,"1,1'-BIPHENYL-2-SULFINIC ACID","2'-HYDROXY-1,1'-BIPHENYL-2-SULFINIC ACID",(S)-atrolactic acid
Cilomilast,AZD-4017,Candoxatril,1-(PHENYLMETHYL)CYCLOPENTYL[(1S)-1-FORMYLPENTYL]CARBAMATE
Jaspisamide A,Kabiramide C,Ridaforolimus,Modithromycin
Carbazole Butanoic Acid,Cridanimod,Amineptine,Bendazac
Eucalyptol,"(1r,4s)-2-Azabornane",Fenchone,Camphane
Reactive Red 6 hapten,Suramin,Reactive Red 1 Dye,Cibacron Blue
Cadaverine,Triglyme,"1,4-Butanediol",Iodine
L-Threonohydroxamate 4-Phosphate,L-xylitol 5-phosphate,2-Deoxy-Glucitol-6-Phosphate,Arabinose-5-phosphate
L-Eflornithine,D-Isovaline,Eflornithine,alpha-Methylleucine
"1,4-dithio-beta-D-glucopyranose",1-thio-beta-D-glucopyranose,"1,4-dithio-alpha-D-glucopyranose",4-Thio-beta-D-glucopyranose
S-Acetonylcysteine,Cysteine-S-acetamide,S-Acetyl-Cysteine,S-Butyryl-Cystein
1-thio-beta-D-glucopyranose,"1,4-dithio-beta-D-glucopyranose","1,4-dithio-alpha-D-glucopyranose",4-Thio-beta-D-glucopyranose
ICI-164384,Salvinorin A,Sepetaprost,Cimetropium
"(2R,3R,4S,5R)-2-acetamido-3,4-dihydroxy-5-hydroxymethyl-piperidine",N-beta-D-glucopyranosylacetamide,1-deoxy-1-methoxycarbamido-beta-D-glucopyranose,2-acetylamino-2-deoxy-b-D-allopyranose
Tetrahydrooxazine,Afegostat,"2-Hydroxymethyl-Pyrrolidine-3,4-Diol","2,3-Dideoxyfucose"
2-O-Methyl-beta-L-fucopyranose,2-O-methyl-alpha-L-fucopyranose,4-Methylthio-Alpha-D-Mannose,4-Deoxy-4-Amino-Beta-D-Glucose
Monothioglycerol,"(S)-butane-1,3-diol",(R)-Propylene glycol,(+)-1-bromo-2-propanol
6-Chloro-2-(2-Hydroxy-Biphenyl-3-Yl)-1h-Indole-5-Carboxamidine,CRA_10991,CRA_8696,CRA_10433
Prostaglandin G2,Epoprostenol,"(5Z)-7-{(1R,4S,5R,6R)-6-[(1E)-1-Octen-1-yl]-2,3-diazabicyclo[2.2.1]hept-2-en-5-yl}-5-heptenoic acid",Latrunculin B
3-nitro-L-tyrosine,Levodopa,3-Iodo-Tyrosine,Mimosine
3-Dehydroquinic Acid,Prostalene,"2,3-Anhydro-quinic acid","8-Hydroxy-2-oxa-bicyclo[3.3.1]non-6-ene-3,5-dicarboxylic acid"
5'-O-(L-Serylsulfamoyl)adenosine,5'-O-(L-Cysteinylsulfamoyl)adenosine,5'-O-(L-Prolylsulfamoyl)adenosine,Tyrosyladenylate
"Ara-Alpha(1,3)-Xyl",Lactulose,Thiocellobiose,2'-Deoxymaltose
"lambda-bis(2,2'-bipyridine)imidazole ruthenium (II)",AMG-319,Tenalisib,Duvelisib
"2,3-Dideoxyfucose",Afegostat,Tetrahydrooxazine,alpha-D-arabinofuranose
"(4e,8e,12z,16z)-N,N,4,8,13,17,21-Heptamethyldocosa-4,8,12,16,20-Pentaen-1-Amine",Squalene,Gefarnate,Vitamin A
"Thieno[2,3-B]Pyridine-2-Carboxamidine",Benzo[B]Thiophene-2-Carboxamidine,4-Iodobenzo[B]Thiophene-2-Carboxamidine,2-(2-hydroxy-phenyl)-3H-benzoimidazole-5-carboxamidine
AL-4623,Brinzolamide,Dorzolamide,"(4s-Trans)-4-(Methylamino)-5,6-Dihydro-6-Methyl-4h-Thieno(2,3-B)Thiopyran-2-Sulfonamide-7,7-Dioxide"
N-[4-Methyl-3-[[4-(3-Pyridinyl)-2-Pyrimidinyl]Amino]Phenyl]-3-Pyridinecarboxamide,Mocetinostat,"N-(CYCLOPROPYLMETHYL)-4-(METHYLOXY)-3-({5-[3-(3-PYRIDINYL)PHENYL]-1,3-OXAZOL-2-YL}AMINO)BENZENESULFONAMIDE",Entinostat
alpha-L-methyl-fucose,Methyl beta-L-fucopyranoside,2-deoxy-2-fluoro-β-D-mannose,alpha-L-fucose
Batimastat,"METHYL N-[(2S,3R)-3-AMINO-2-HYDROXY-3-(4-METHYLPHENYL)PROPANOYL]-D-ALANYL-D-LEUCINATE",METHYLAMINO-PHENYLALANYL-LEUCYL-HYDROXAMIC ACID,"METHYL N-[(2S,3R)-3-AMINO-2-HYDROXY-3-(4-ISOPROPYLPHENYL)PROPANOYL]-D-ALANYL-D-LEUCINATE"
"(2S,3R,4S,5S)-3,4-Dihydroxy-2-[(methylsulfanyl)methyl]-5-(4-oxo-4,5-dihydro-1H-pyrrolo[3,2-d]pyrimidin-7-yl)pyrrolidinium","6-hydroxy-1,6-dihydro purine nucleoside",5-fluorouridine,"[(2R,3R,4S,5S)-3,4-Dihydroxy-5-(4-oxo-4,5-dihydro-1H-pyrrolo[3,2-d]pyrimidin-7-yl)-2-pyrrolidinyl]methyl dihydrogen phosphate"
"5-Alpha-Androstane-3-Beta,17beta-Diol","5alpha-androstane-3beta,17alpha-diol","5alpha-androstane-3alpha,17beta-diol",Aetiocholanolone
Carboxyethyllumazine,3-(7-hydroxy-8-ribityllumazine-6-yl) propionic acid,Flavin mononucleotide,"5-Nitroso-6-ribityl-amino-2,4(1H,3H)-pyrimidinedione"
Phenylpyruvic acid,Benzoylformic Acid,5-phenyl-2-keto-valeric acid,4-Hydroxyphenylpyruvic acid
L-gamma-glutamyl-S-(naphthalen-1-ylmethyl)-L-cysteinylglycine,S-(3-Iodobenzyl)glutathione,gamma-Glutamyl[S-(2-iodobenzyl)cysteinyl]glycine,S-benzylglutathione
Biopterin,"6S-5,6,7,8-Tetrahydrobiopterin",Sapropterin,D-threo-neopterin
Alpha-Adenosine Monophosphate,Formycin-5'-Monophosphate,Alpha-Ribazole-5'-Phosphate,"GUANOSINE-2',3'-O-METHYLIDENEPHOSPHONATE"
N-Allyl-6-{[3-(4-bromophenyl)-1-methyl-1H-indazol-6-yl]oxy}-N-methyl-1-hexanamine,Allyl-{6-[3-(4-Bromo-Phenyl)-Benzofuran-6-Yloxy]-Hexyl-}-Methyl-Amin,"N-(6-{[3-(4-Bromophenyl)-1,2-Benzisothiazol-6-Yl]Oxy}Hexyl)-N-Methylprop-2-En-1-Amine",SD-0006
S-(N-hydroxy-N-bromophenylcarbamoyl)glutathione,S-(N-hydroxy-N-iodophenylcarbamoyl)glutathione,MIP-1095 I-123,1-Hydroxy-2-S-glutathionyl-3-para-nitrophenoxy-propane
N-[2-(1-Formyl-2-Methyl-Propyl)-1-(4-Piperidin-1-Yl-but-2-Enoyl)-Pyrrolidin-3-Yl]-Methanesulfonamide,Doripenem,Omapatrilat,Dinoprostone
"Dibenzyl (carbonylbis{2,1-hydrazinediyl[(2S)-4-methyl-1-oxo-1,2-pentanediyl]})biscarbamate",N2-[(Benzyloxy)carbonyl]-N-[(3R)-1-{N-[(benzyloxy)carbonyl]-L-leucyl}-4-oxo-3-pyrrolidinyl]-L-leucinamide,Reversin 121,BOC-GAMMA-D-GLU-L-LYS(CBZ)-D-BOROALA
5-N-Allyl-arginine,N-omega-propyl-L-arginine,"N,N-dimethylarginine",Symmetric dimethylarginine
Thionicotinamide-Adenine-Dinucleotide,7-thionicotinamide-adenine-dinucleotide phosphate,5-beta-D-ribofuranosylnicotinamide adenine dinucleotide,Carba-nicotinamide-adenine-dinucleotide
N-Propargyl-1(S)-Aminoindan,Rasagiline,5-Hydroxy-N-Propargyl-1(R)-Aminoindan,(R)-N-methyl-N-2-propynyl-1-indanamine
Malachite Green,Brilliant green cation,Gentian violet cation,Prifinium
Triphosphoric acid,Pyrophosphoric acid,2-Phosphoglycolic Acid,Foscarnet
Phloretic acid,4-hydroxybenzoic acid,Homogentisic acid,"2,4-Dihydroxybenzoic Acid"
3-Chloro-4-Hydroxyphenylglycine,Droxidopa,Dihydroxyphenylglycine,3-Iodo-Tyrosine
9-Butyl-8-(4-Methoxybenzyl)-9h-Purin-6-Amine,9-Butyl-8-(3-Methoxybenzyl)-9h-Purin-6-Amine,"9-Butyl-8-(2,5-Dimethoxy-Benzyl)-9h-Purin-6-Ylamine","1-Tert-Butyl-3-(4-Chloro-Phenyl)-1h-Pyrazolo[3,4-D]Pyrimidin-4-Ylamine"
tert-butanol,N-T-Butylhydroxylamine,Tert-Butyloxycarbonyl Group,Isopropyl alcohol
5-Oxoprolinal,Parasorbic acid,4-Methyl-Pyrroline-5-Carboxylic Acid,N-(2-OXOTETRAHYDROFURAN-3-YL)OCTANAMIDE
Oxalic Acid,"2,3-Didehydroalanine",3-Hydroxypyruvic Acid,Bromopyruvate
Tmr,Motolimod,Bioymifi,"8-Benzyl-2-Hydroxy-2-(4-Hydroxy-Benzyl)-6-(4-Hydroxy-Phenyl)-2h-Imidazo[1,2-a]Pyrazin-3-One"
Urea,Urethane,Glycinamide,Heptanamide
Succinamide-CoA,Succinyl-Coenzyme A,Malonyl-CoA,alpha-Fluoro-carboxymethyldethia coenzyme A complex
2-Phenylheme,Ferroheme C,Verdoheme,2-Acetyl-Protoporphyrin Ix
"N-[(E)-3-[(2R,3S,4R,5R)-5-(6-Aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]prop-2-enyl]-2,3-dihydroxy-5-nitrobenzamide",Regrelor,Tyrosyladenylate,Tryptophanyl-5'amp
"N,N-[2,5-O-[Dibenzyl]-glucaryl]-DI-[isoleucyl-amido-methane]","N,N-[2,5-O-dibenzyl-glucaryl]-DI-[valinyl-aminomethanyl-pyridine]",LM-030,ABT-510
"Adenosine-5'-[Beta, Gamma-Methylene]Triphosphate",ATP,"alpha,beta-Methyleneadenosine 5'-triphosphate",2'-Monophosphoadenosine-5'-Diphosphate
"S,S'-(1,3-Phenylene-Bis(1,2-Ethanediyl))Bis-Isothiourea","S,S'-(1,4-Phenylene-Bis(1,2-Ethanediyl))Bis-Isothiourea",4-iodo-acetamido phenylboronic acid,4-Carboxyphenylboronic Acid
L-Xylopyranose,Sinbaglustat,alpha-D-arabinofuranose,Lucerastat
D-pantetheine 4'-phosphate,Phosphopantothenic acid,Phosphoaspartate,Phosphonothreonine
Coenzyme F420,(R)-methylmalonyl-CoA,Oxidized coenzyme A,Coenzyme A
"[2-(1-amino-2-hydroxy-propyl)-4-(1H-indol-3-ylmethylene)-5-oxo-4,5-dihydro-imidazol-1-yl]-acetaldehyde","{(4Z)-2-[(1R,2R)-1-Amino-2-hydroxypropyl]-4-[(4-amino-1H-indol-3-yl)methylene]-5-oxo-4,5-dihydro-1H-imidazol-1-yl}acetic acid",Chromophore (Gly-Tyr-Gly),[4-(4-Hydroxy-Benzyl)-2-(2-Hydroxy-1-Methyl-Ethyl)-5-Oxo-Imidazolidin-1-Yl]-Acetic Acid
2-Amino-3-Ketobutyric Acid,beta-Hydroxyasparagine,N5-Methylglutamine,Theanine
4-{2-[4-(2-Aminoethyl)Piperazin-1-Yl]Pyridin-4-Yl}-N-(3-Chloro-4-Methylphenyl)Pyrimidin-2-Amine,4-[(4-METHYL-1-PIPERAZINYL)METHYL]-N-[3-[[4-(3-PYRIDINYL)-2-PYRIMIDINYL]AMINO]PHENYL]-BENZAMIDE,4-[4-(1-Amino-1-Methylethyl)Phenyl]-5-Chloro-N-[4-(2-Morpholin-4-Ylethyl)Phenyl]Pyrimidin-2-Amine,AB-8939
N-Ethylretinamide,Zuretinol acetate,"1,3,3-trimethyl-2-[(1E,3E)-3-methylpenta-1,3-dien-1-yl]cyclohexene",Anhydrovitamin A
"6S-5,6,7,8-Tetrahydrobiopterin",Sapropterin,Biopterin,Ronopterin
Ethyl-Carbamic Acid Methyl Ester,Ethyl N-methylcarbamate,Hydroxyurea,Caprylhydroxamic acid
N-Methyl-Alpha-Beta-Dehydroalanine,"2,3-Didehydroalanine",Oxalic Acid,3-Hydroxypyruvic Acid
4-(3-Pyridin-2-Yl-1h-Pyrazol-4-Yl)Quinoline,4-[3-(4-FLUOROPHENYL)-1H-PYRAZOL-4-YL]PYRIDINE,"4,5-bis(4-methoxyphenyl)-2-thiophen-2-yl-1H-imidazole",2-fluoro-4-[4-(4-fluorophenyl)-1H-pyrazol-3-yl]pyridine
Feruloyl Coenzyme A,5-Mercaptoethanol-2-decenoyl-coenzyme A,"4-(N,N-Dimethylamino)cinnamoyl-CoA",Sinapoyl coenzyme A
"5,8-Di-Amino-1,4-Dihydroxy-Anthraquinone",Pixantrone,Paquinimod,"6-CHLORO-9-HYDROXY-1,3-DIMETHYL-1,9-DIHYDRO-4H-PYRAZOLO[3,4-B]QUINOLIN-4-ONE"
Freselestat,Valine-valine-ganciclovir,Managlinat dialanetil,Delanzomib
"5alpha-androstane-3beta,17alpha-diol","5-Alpha-Androstane-3-Beta,17beta-Diol","5alpha-androstane-3alpha,17beta-diol",Aetiocholanolone
Glycyl-L-alpha-amino-epsilon-pimelyl-D-alanine,N-[(6S)-6-Carboxy-6-(glycylamino)hexanoyl]-D-alanyl-D-alanine,Glutathione,S-Methyl glutathione
"Carboxymethylthio-3-(3-Chlorophenyl)-1,2,4-Oxadiazol",Lonazolac,AVS-100,Vadadustat
D-Serine,D-Cysteine,6-hydroxy-D-norleucine,Canaline
4-Methyl-Pyrroline-5-Carboxylic Acid,"(2s,3s)-Trans-2,3-Dihydro-3-Hydroxyanthranilic Acid",5-Hydroxyamino-3-Methyl-Pyrrolidine-2-Carboxylic Acid,5-Amino-3-Methyl-Pyrrolidine-2-Carboxylic Acid
Diguanosine-5'-Triphosphate,Denufosol,8-demethyl-8-dimethylamino-flavin-adenine-dinucleotide,Flavin adenine dinucleotide
LFA703,Lovastatin,Aclarubicin,11-Deoxy-Beta-Rhodomycin
C-1027 Aromatized chromophore,Vinblastine,Chlorophyll B,Ergotamine
Zinc protoporphyrin,Ferroheme,Hematin,Protoporphyrin
"1,4-Dideoxy-O2-Sulfo-Glucuronic Acid",O2-Sulfo-Glucuronic Acid,"D-Myo-Inositol-1,4-Bisphosphate","Inositol 1,3-Bisphosphate"
1-Deoxy-Ribofuranose-5'-Phosphate,beta-D-Ribose-5-phosphate,Ribose-1-Phosphate,beta-D-arabinofuranose 5-phosphate
D-erythrose 4-phosphate,4-phospho-D-erythronic acid,4-phospho-L-threonic acid,4-Phospho-D-erythronohydroxamic acid
Deacetoxycephalosporin C,Cephalosporin C,Cefradine,Cefroxadine
"(4S)-4-hydroxy-3,4-dihydro-2(1H)-pyrimidinone","(4S)-5-Fluoro-4-hydroxy-3,4-dihydro-2(1H)-pyrimidinone",Oxothiazolidinecarboxylic acid,Acetyleneurea
Oxamic Acid,4-methylthio-2-oxobutanoic acid,Pyruvic acid,2-Oxobutanoic Acid
p-Heptylphenol,Hexylresorcinol,Nonoxynol-9,"4,4'-Dihydroxybenzophenone"
Carboxylic PRPP,5-O-phosphono-alpha-D-ribofuranosyl diphosphate,"Inositol 1,3,4,5-Tetrakisphosphate","1D-myo-inositol 1,3,4-trisphosphate"
D-Asparagine,Asparagine,Citrulline,S-Butyryl-Cystein
"5-[1-(3,4-Dimethoxy-Benzoyl)-1,2,3,4-Tetrahydro-Quinolin-6-Yl]-6-Methyl-3,6-Dihydro-[1,3,4]Thiadiazin-2-One",Lefradafiban,Iberdomide,"[4-(4-ACETYLAMINO-PHENYL)-3,5-DIOXO-4-AZA-TRICYCLO[5.2.2.0 2,6]UNDEC-1-YLCARBAMOYLOXY]-ACETIC ACID"
"N,N,N-Trimethyl-2-(phosphonooxy)ethanaminium",Ethyl Dimethyl Ammonio Propane Sulfonate,"N,N,N-trimethylglycinium","N-Dodecyl-N,N-Dimethyl-3-Ammonio-1-Propanesulfonate"
"3,4-Dihydroxybenzoic Acid",Didox,"2-(3,4-Dihydroxyphenyl)Acetic Acid","2,3-Dihydroxy-Benzoic Acid"
D-Xylulose,Tagatose,L-threonic acid,Threonic acid
"6-Chloropurine Riboside, 5'-Monophosphate",Purine Riboside-5'-Monophosphate,7-Alpha-D-Ribofuranosyl-Purine-5'-Phosphate,Alpha-Ribazole-5'-Phosphate Derivative
N-[(2S)-3-Phenyl-2-sulfanylpropanoyl]-L-phenylalanyl-L-tyrosine,Benzoyl-tyrosine-alanine-fluoro-methyl ketone,N-(3-Phenyl-2-Sulfanylpropanoyl)Phenylalanylalanine,DADLE
(S)-N-(3-Indol-1-Yl-2-Methyl-Propyl)-4-Sulfamoyl-Benzamide,(R)-N-(3-Indol-1-Yl-2-Methyl-Propyl)-4-Sulfamoyl-Benzamide,N-[2-(1h-Indol-5-Yl)-Butyl]-4-Sulfamoyl-Benzamide,AL7099A
N-acetyl-D-glucosamine-6-phosphate,"2,5-Anhydroglucitol-1,6-Biphosphate","Alpha-D-Glucose 1,6-Bisphosphate","D-Gluco-2,5-Anhydro-1-Deoxy-1-Phosphonohexitol-6-Phosphate"
